tof_t1 , 78.41, tof_t2 , 188.53
tof_t1 , 78.43, tof_t2 , 188.35
tof_t1 , 78.49, tof_t2 , 189.37
tof_t1 , 78.46, tof_t2 , 188.18
tof_t1 , 78.47, tof_t2 , 187.93
tof_t1 , 78.45, tof_t2 , 187.42
tof_t1 , 78.49, tof_t2 , 187.13
tof_t1 , 78.54, tof_t2 , 187.41
tof_t1 , 78.44, tof_t2 , 186.48
tof_t1 , 78.61, tof_t2 , 186.37
tof_t1 , 78.54, tof_t2 , 186.39
tof_t1 , 78.57, tof_t2 , 186.12
tof_t1 , 78.54, tof_t2 , 186.34
tof_t1 , 78.54, tof_t2 , 185.49
tof_t1 , 78.63, tof_t2 , 187.08
tof_t1 , 78.57, tof_t2 , 186.92
tof_t1 , 78.58, tof_t2 , 185.91
tof_t1 , 78.67, tof_t2 , 185.78
tof_t1 , 78.61, tof_t2 , 186.71
tof_t1 , 78.55, tof_t2 , 186.02
tof_t1 , 78.54, tof_t2 , 185.96
tof_t1 , 78.57, tof_t2 , 185.38
tof_t1 , 78.58, tof_t2 , 184.43
tof_t1 , 78.61, tof_t2 , 184.52
tof_t1 , 78.53, tof_t2 , 184.51
tof_t1 , 78.61, tof_t2 , 183.99
tof_t1 , 78.57, tof_t2 , 184.26
tof_t1 , 78.68, tof_t2 , 183.26
tof_t1 , 78.57, tof_t2 , 183.75
tof_t1 , 78.63, tof_t2 , 183.54
tof_t1 , 78.61, tof_t2 , 183.51
tof_t1 , 78.64, tof_t2 , 182.90
tof_t1 , 78.66, tof_t2 , 183.30
tof_t1 , 78.66, tof_t2 , 182.61
tof_t1 , 78.78, tof_t2 , 182.41
tof_t1 , 78.76, tof_t2 , 182.31
tof_t1 , 78.66, tof_t2 , 181.27
tof_t1 , 78.67, tof_t2 , 181.23
tof_t1 , 78.80, tof_t2 , 180.81
tof_t1 , 78.87, tof_t2 , 181.36
tof_t1 , 78.76, tof_t2 , 180.48
tof_t1 , 78.79, tof_t2 , 180.68
tof_t1 , 78.80, tof_t2 , 180.76
tof_t1 , 78.83, tof_t2 , 179.89
tof_t1 , 78.79, tof_t2 , 180.55
tof_t1 , 78.82, tof_t2 , 179.43
tof_t1 , 78.98, tof_t2 , 178.84
tof_t1 , 78.89, tof_t2 , 179.18
tof_t1 , 78.89, tof_t2 , 178.78
tof_t1 , 78.90, tof_t2 , 178.79
tof_t1 , 78.98, tof_t2 , 178.96
tof_t1 , 78.97, tof_t2 , 178.97
tof_t1 , 78.94, tof_t2 , 178.81
tof_t1 , 79.00, tof_t2 , 178.47
tof_t1 , 79.08, tof_t2 , 178.43
tof_t1 , 79.03, tof_t2 , 177.70
tof_t1 , 79.07, tof_t2 , 177.60
tof_t1 , 79.13, tof_t2 , 176.99
tof_t1 , 79.08, tof_t2 , 177.58
tof_t1 , 79.29, tof_t2 , 176.76
tof_t1 , 79.22, tof_t2 , 176.11
tof_t1 , 79.25, tof_t2 , 175.47
tof_t1 , 79.37, tof_t2 , 174.71
tof_t1 , 79.31, tof_t2 , 174.70
tof_t1 , 79.40, tof_t2 , 174.01
tof_t1 , 79.40, tof_t2 , 174.03
tof_t1 , 79.48, tof_t2 , 173.00
tof_t1 , 79.48, tof_t2 , 172.26
tof_t1 , 79.59, tof_t2 , 172.48
tof_t1 , 79.60, tof_t2 , 172.33
tof_t1 , 79.67, tof_t2 , 171.50
tof_t1 , 79.68, tof_t2 , 171.36
tof_t1 , 79.73, tof_t2 , 170.94
tof_t1 , 79.82, tof_t2 , 169.55
tof_t1 , 79.91, tof_t2 , 170.12
tof_t1 , 79.86, tof_t2 , 170.09
tof_t1 , 79.91, tof_t2 , 168.82
tof_t1 , 79.97, tof_t2 , 167.80
tof_t1 , 80.00, tof_t2 , 167.58
tof_t1 , 80.11, tof_t2 , 166.78
tof_t1 , 80.09, tof_t2 , 166.12
tof_t1 , 80.30, tof_t2 , 165.64
tof_t1 , 80.25, tof_t2 , 165.14
tof_t1 , 80.25, tof_t2 , 164.24
tof_t1 , 80.41, tof_t2 , 164.05
tof_t1 , 80.40, tof_t2 , 164.09
tof_t1 , 80.39, tof_t2 , 163.84
tof_t1 , 80.40, tof_t2 , 163.69
tof_t1 , 80.57, tof_t2 , 163.75
tof_t1 , 80.54, tof_t2 , 162.99
tof_t1 , 80.65, tof_t2 , 162.77
tof_t1 , 80.66, tof_t2 , 161.83
tof_t1 , 80.71, tof_t2 , 161.98
tof_t1 , 80.70, tof_t2 , 161.40
tof_t1 , 80.74, tof_t2 , 161.14
tof_t1 , 80.83, tof_t2 , 160.87
tof_t1 , 80.80, tof_t2 , 160.36
tof_t1 , 80.81, tof_t2 , 159.97
tof_t1 , 80.98, tof_t2 , 159.70
tof_t1 , 81.00, tof_t2 , 159.51
tof_t1 , 81.02, tof_t2 , 159.27
tof_t1 , 81.17, tof_t2 , 158.94
tof_t1 , 81.25, tof_t2 , 158.14
tof_t1 , 81.39, tof_t2 , 157.85
tof_t1 , 81.28, tof_t2 , 156.95
tof_t1 , 81.40, tof_t2 , 156.74
tof_t1 , 81.43, tof_t2 , 155.56
tof_t1 , 81.60, tof_t2 , 155.55
tof_t1 , 81.70, tof_t2 , 154.97
tof_t1 , 81.73, tof_t2 , 154.51
tof_t1 , 81.80, tof_t2 , 153.75
tof_t1 , 81.80, tof_t2 , 153.58
tof_t1 , 81.98, tof_t2 , 153.43
tof_t1 , 81.97, tof_t2 , 152.92
tof_t1 , 82.11, tof_t2 , 153.13
tof_t1 , 82.12, tof_t2 , 152.69
tof_t1 , 82.16, tof_t2 , 153.23
tof_t1 , 82.25, tof_t2 , 152.83
tof_t1 , 82.42, tof_t2 , 153.45
tof_t1 , 82.34, tof_t2 , 153.25
tof_t1 , 82.44, tof_t2 , 153.16
tof_t1 , 82.44, tof_t2 , 152.98
tof_t1 , 82.48, tof_t2 , 153.64
tof_t1 , 82.48, tof_t2 , 153.37
tof_t1 , 82.61, tof_t2 , 153.83
tof_t1 , 82.61, tof_t2 , 154.13
tof_t1 , 82.65, tof_t2 , 154.04
tof_t1 , 82.63, tof_t2 , 154.61
tof_t1 , 82.62, tof_t2 , 154.99
tof_t1 , 82.72, tof_t2 , 154.90
tof_t1 , 82.71, tof_t2 , 154.67
tof_t1 , 82.74, tof_t2 , 154.82
tof_t1 , 82.74, tof_t2 , 154.71
tof_t1 , 82.96, tof_t2 , 154.66
tof_t1 , 82.84, tof_t2 , 154.41
tof_t1 , 82.92, tof_t2 , 154.63
tof_t1 , 82.84, tof_t2 , 154.87
tof_t1 , 82.86, tof_t2 , 154.68
tof_t1 , 82.96, tof_t2 , 154.49
tof_t1 , 82.88, tof_t2 , 154.28
tof_t1 , 82.98, tof_t2 , 154.58
tof_t1 , 82.95, tof_t2 , 154.13
tof_t1 , 83.13, tof_t2 , 153.35
tof_t1 , 83.02, tof_t2 , 152.74
tof_t1 , 83.03, tof_t2 , 152.48
tof_t1 , 83.09, tof_t2 , 152.66
