tof_t1 , 76.58, tof_t2 , 78.79
tof_t1 , 76.58, tof_t2 , 78.79
tof_t1 , 76.61, tof_t2 , 78.88
tof_t1 , 76.60, tof_t2 , 78.81
tof_t1 , 76.66, tof_t2 , 78.98
tof_t1 , 76.82, tof_t2 , 79.04
tof_t1 , 76.81, tof_t2 , 79.02
tof_t1 , 76.91, tof_t2 , 79.06
tof_t1 , 77.11, tof_t2 , 79.32
tof_t1 , 77.13, tof_t2 , 79.40
tof_t1 , 77.21, tof_t2 , 79.37
tof_t1 , 77.35, tof_t2 , 79.56
tof_t1 , 77.43, tof_t2 , 79.64
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.47, tof_t2 , 79.57
tof_t1 , 77.57, tof_t2 , 79.78
tof_t1 , 77.43, tof_t2 , 79.59
tof_t1 , 77.46, tof_t2 , 79.61
tof_t1 , 77.53, tof_t2 , 79.69
tof_t1 , 77.61, tof_t2 , 79.82
tof_t1 , 77.52, tof_t2 , 79.68
tof_t1 , 77.48, tof_t2 , 79.69
tof_t1 , 77.45, tof_t2 , 79.66
tof_t1 , 77.44, tof_t2 , 79.71
tof_t1 , 77.43, tof_t2 , 79.58
tof_t1 , 77.54, tof_t2 , 79.70
tof_t1 , 77.47, tof_t2 , 79.63
tof_t1 , 77.50, tof_t2 , 79.71
tof_t1 , 77.49, tof_t2 , 79.70
tof_t1 , 77.51, tof_t2 , 79.77
tof_t1 , 77.53, tof_t2 , 79.74
tof_t1 , 77.45, tof_t2 , 79.61
tof_t1 , 77.55, tof_t2 , 79.76
tof_t1 , 77.44, tof_t2 , 79.70
tof_t1 , 77.47, tof_t2 , 79.62
